instance timestamp,query,scale factor,load from file,data load time,run id,bag semantics,processor,lp_results: witness computation time,lp_results: number of witnesses,lp_results: witnesses of responsibility tuple,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: responsibility lp approximation,lp_results: Responsibility,lp_results: error,ilp_results: witness computation time,ilp_results: number of witnesses,ilp_results: witnesses of responsibility tuple,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: Responsibility,ilp_results: error,ilp_results_600: witness computation time,ilp_results_600: number of witnesses,ilp_results_600: witnesses of responsibility tuple,ilp_results_600: Solve Time,ilp_results_600: Solver Solution Time,ilp_results_600: Responsibility,ilp_results_600: error,ilp_results_60: witness computation time,ilp_results_60: number of witnesses,ilp_results_60: witnesses of responsibility tuple,ilp_results_60: Solve Time,ilp_results_60: Solver Solution Time,ilp_results_60: Responsibility,ilp_results_60: error,ilp_results_10: witness computation time,ilp_results_10: number of witnesses,ilp_results_10: witnesses of responsibility tuple,ilp_results_10: Solve Time,ilp_results_10: Solver Solution Time,ilp_results_10: Responsibility,ilp_results_10: error,milp_results: witness computation time,milp_results: number of witnesses,milp_results: witnesses of responsibility tuple,milp_results: Solve Time,milp_results: Solver Solution Time,milp_results: Responsibility,milp_results: error,flow_tuple_linearization_networkx_results: Responsibility,flow_tuple_linearization_networkx_results: Solve Time,flow_tuple_linearization_lp_results: Responsibility,flow_tuple_linearization_lp_results: Solve Time,flow_witness_linearization_networkx_results: Responsibility,flow_witness_linearization_networkx_results: Solve Time,flow_witness_linearization_lp_results: Responsibility,flow_witness_linearization_lp_results: Solve Time
1669830765.775395,5Cycle,0.46,True,0.027933618053793907,1669830661.276119,False,x86_64,0.07700618775561452,6833,1,1.2628988879732788,0.8995318549999922,2959,2959.0,,0.08918093983083963,6833,1,1.0116136292926967,0.8367182839999998,2959.0,,0.08051682403311133,6833,1,0.9282599752768874,0.7798508679999969,2959.0,,0.09062696620821953,6833,1,0.9898423622362316,0.7676453710000004,2959.0,,0.07886598585173488,6833,1,1.0700578619726002,0.8836781100000053,2959.0,,0.08945934195071459,6833,1,1.019590153824538,0.8466659649999997,2959.0,,2991.0,367.10030302917585,2991.0,157.84268080210313,2959.0,125.54956076527014,2959.0,16.583399523049593
1669830858.81614,5Cycle,0.46,True,0.017160091549158096,1669830668.321089,False,x86_64,0.146801327355206,6833,1,1.9942518500611186,1.498373302999994,2957,2957.0,,0.1519702272489667,6833,1,1.678901488892734,1.4508888249999927,2957.0,,0.1538088358938694,6833,1,1.628461005166173,1.3997540139999955,2957.0,,0.15138592012226582,6833,1,1.6719611138105392,1.4429053080000074,2957.0,,0.15450251381844282,6833,1,1.6816056352108717,1.455466040999994,2957.0,,0.15269733127206564,6833,1,1.74677574634552,1.5053753120000124,2957.0,,2990.0,595.8902770252898,2990.0,249.94287118967623,2957.0,190.93699914589524,2957.0,27.71527225896716
1669830877.564518,5Cycle,0.46,True,0.020999211817979813,1669830730.591386,False,x86_64,0.12402119114995003,6833,2,2.021254848688841,1.4416515009999955,2956,2956.0,,0.14582508243620396,6833,2,1.6311809653416276,1.3803374660000003,2956.0,,0.14533780049532652,6833,2,1.6462474390864372,1.3079857980000043,2956.0,,0.13970293290913105,6833,2,1.643274006433785,1.3839391700000192,2956.0,,0.13745782244950533,6833,2,1.6446930980309844,1.3882843739999942,2956.0,,0.144955282099545,6833,2,1.6477398490533233,1.3310318569999993,2956.0,,2988.0,1168.7092717317864,2988.0,443.0335212992504,2956.0,283.28190784715116,2956.0,33.79113142006099
1669830858.71324,5Cycle,0.46,True,0.02343741897493601,1669830668.321089,False,x86_64,0.14130207151174545,6833,2,1.997893424704671,1.5048279709999974,2959,2958.0,,0.13830270431935787,6833,2,1.6738677993416786,1.4581508809999946,2958.0,,0.13769004959613085,6833,2,1.620863575488329,1.4048925040000029,2958.0,,0.13667380344122648,6833,2,1.672789465636015,1.4551571080000087,2958.0,,0.1391603322699666,6833,2,1.6778018344193697,1.465895794000005,2958.0,,0.13804680854082108,6833,2,1.6979934806004167,1.4717749630000014,2958.0,,2989.0,1213.160927270539,2989.0,500.1500543402508,2958.0,402.18648080714047,2958.0,53.45722578279674
1669836339.076596,5Cycle,0.01,False,0.27702735271304846,1669836338.799521,False,x86_64,0.05752711184322834,4,1,0.07654636725783348,0.003005265999999951,3,3.0,,0.06065323855727911,4,1,0.038892993703484535,0.002663485000000021,3.0,,0.059981987811625004,4,1,0.028902011923491955,0.0024788710000001046,3.0,,0.062022650614380836,4,1,0.03653635922819376,0.0030494880000000446,3.0,,0.06139300484210253,4,1,0.032120320945978165,0.0031761409999999657,3.0,,0.06317854952067137,4,1,0.034931997768580914,0.0032333480000001913,3.0,,3.0,0.05999224353581667,3.0,0.18219451792538166,3.0,0.026752815581858158,3.0,0.1950964853167534
1669836343.915772,5Cycle,0.015,False,0.3391015278175473,1669836338.799521,False,x86_64,0.05732503719627857,9,1,0.03471488133072853,0.00347899200000068,6,6.0,,0.05972266476601362,9,1,0.03168512787669897,0.0027884930000006136,6.0,,0.06004433799535036,9,1,0.028026237152516842,0.002706050999999654,6.0,,0.05949792917817831,9,1,0.02833065576851368,0.002736497999999976,6.0,,0.05947702191770077,9,1,0.027579758316278458,0.002712682999999494,6.0,,0.0599755123257637,9,1,0.02866002917289734,0.0027978540000006547,6.0,,6.0,0.04995752777904272,6.0,0.17435342073440552,6.0,0.04813847690820694,6.0,0.17308505158871412
1669836348.709065,5Cycle,0.021,False,0.4261307790875435,1669836338.799521,False,x86_64,0.057585449889302254,11,1,0.035448904149234295,0.0037897729999993857,8,8.0,,0.05994781292974949,11,1,0.048497109673917294,0.003155858000001288,8.0,,0.06178202945739031,11,1,0.02971062809228897,0.0029788870000011514,8.0,,0.059587568044662476,11,1,0.0326584167778492,0.0029985739999993655,8.0,,0.05981720518320799,11,1,0.02795995306223631,0.0029899130000003993,8.0,,0.05946196988224983,11,1,0.029802335426211357,0.0030220400000011693,8.0,,8.0,0.07461871486157179,8.0,0.17538589145988226,8.0,0.05654686409980059,8.0,0.1952723851427436
1669836353.810559,5Cycle,0.032,False,0.5724602993577719,1669836338.799521,False,x86_64,0.057554720900952816,32,1,0.03537050634622574,0.006093932000000635,19,19.0,,0.059730770997703075,32,1,0.03551025781780481,0.005166077000000158,19.0,,0.05974187050014734,32,1,0.03432346414774656,0.005132957999999022,19.0,,0.06008932366967201,32,1,0.03179249353706837,0.005115273999999559,19.0,,0.05991900060325861,32,1,0.03506585769355297,0.005056331000000469,19.0,,0.05989126302301884,32,1,0.03226321842521429,0.005295111000000574,19.0,,19.0,0.2647722912952304,19.0,0.21958209108561277,19.0,0.18622639495879412,19.0,0.25208558700978756
1669836359.887521,5Cycle,0.046,False,0.7715775277465582,1669836338.799521,False,x86_64,0.05761656817048788,52,1,0.03646600339561701,0.008247773000000791,32,32.0,,0.05990726128220558,52,1,0.03368124458938837,0.007147139000000635,32.0,,0.0598803348839283,52,1,0.03553238231688738,0.007078022000001738,32.0,,0.060069053433835506,52,1,0.03524086996912956,0.007061925999998664,32.0,,0.06022943276911974,52,1,0.0402428237721324,0.0070378910000030714,32.0,,0.05967481806874275,52,1,0.036838311702013016,0.007410615000001286,32.0,,32.0,0.5137473465874791,32.0,0.25112574733793736,32.0,0.36715538054704666,32.0,0.25322947930544615
1669836366.986432,5Cycle,0.068,False,1.054368612356484,1669836338.799521,False,x86_64,0.058092039078474045,149,1,0.0500803729519248,0.01878164900000101,95,95.0,,0.0604584775865078,149,1,0.045828589238226414,0.017010381000002184,95.0,,0.060735500417649746,149,1,0.04719046875834465,0.017943687000002484,95.0,,0.06074042711406946,149,1,0.04419639613479376,0.016756207000000245,95.0,,0.060275549069046974,149,1,0.043912408873438835,0.016680001000001,95.0,,0.060197677463293076,149,1,0.048753668554127216,0.01793172200000015,95.0,,95.0,1.5541099794209003,95.0,0.5065220156684518,95.0,1.132821649312973,95.0,0.4463061736896634
